[0m[ INFO] [1783240828.630340314]: Mower SN: HL-G-0001[0m
[2026-07-05 17:20:05] 当前点: 9.13442 -5.19835 -2.44748
[2026-07-05 17:20:05] 当前点: 9.13459 -5.19844 -2.44748
[2026-07-05 17:20:06] 当前点: 9.13304 -5.19713 -2.44747
[2026-07-05 17:20:06] 当前点: 9.13313 -5.19713 -2.44747
[2026-07-05 17:20:06] 当前点: 9.1319 -5.19607 -2.44746
[2026-07-05 17:20:06] 当前点: 9.13191 -5.196 -2.44746
[2026-07-05 17:20:06] 当前点: 9.13068 -5.19513 -2.44746
[2026-07-05 17:20:06] 当前点: 9.13064 -5.19503 -2.44746
[2026-07-05 17:20:06] 当前点: 9.13031 -5.19454 -2.44746
[2026-07-05 17:20:06] 当前点: 9.13035 -5.1945 -2.44746
[2026-07-05 17:20:06] 当前点: 9.12972 -5.19417 -2.44746
[2026-07-05 17:20:06] 当前点: 9.1297 -5.19418 -2.44746
[2026-07-05 17:20:07] 当前点: 9.12926 -5.19425 -2.44746
[2026-07-05 17:20:07] 当前点: 9.12923 -5.19424 -2.44746
[2026-07-05 17:20:07] 当前点: 9.1288 -5.19391 -2.44746
[2026-07-05 17:20:07] 当前点: 9.12877 -5.19385 -2.44746
[2026-07-05 17:20:07] 当前点: 9.12873 -5.19403 -2.44746
[2026-07-05 17:20:07] 当前点: 9.12871 -5.19398 -2.44746
[2026-07-05 17:20:07] 当前点: 9.12786 -5.19381 -2.44745
[2026-07-05 17:20:07] 当前点: 9.12775 -5.1938 -2.44745
[2026-07-05 17:20:07] 当前点: 9.12779 -5.19375 -2.44745
[2026-07-05 17:20:07] 当前点: 9.12769 -5.19373 -2.44746
[2026-07-05 17:20:08] 当前点: 9.12838 -5.19443 -2.44746
[2026-07-05 17:20:08] 当前点: 9.12834 -5.19448 -2.44746
[2026-07-05 17:20:08] 当前点: 9.12786 -5.19368 -2.44746
[2026-07-05 17:20:08] 当前点: 9.12783 -5.1937 -2.44746
[2026-07-05 17:20:08] 当前点: 9.12791 -5.19327 -2.44746
[2026-07-05 17:20:08] 当前点: 9.12789 -5.19329 -2.44745
[2026-07-05 17:20:08] 当前点: 9.12823 -5.19344 -2.44745
[2026-07-05 17:20:08] 当前点: 9.12823 -5.19346 -2.44745
[2026-07-05 17:20:08] 当前点: 9.12897 -5.19417 -2.44745
[2026-07-05 17:20:08] 当前点: 9.12901 -5.19428 -2.44745
[2026-07-05 17:20:09] 当前点: 9.12954 -5.19465 -2.44745
[2026-07-05 17:20:09] 当前点: 9.12959 -5.19475 -2.44745
[2026-07-05 17:20:09] 当前点: 9.1305 -5.1955 -2.44745
[2026-07-05 17:20:09] 当前点: 9.1306 -5.19562 -2.44745
[2026-07-05 17:20:09] 当前点: 9.13106 -5.19593 -2.44744
[2026-07-05 17:20:09] 当前点: 9.13118 -5.19606 -2.44744
[2026-07-05 17:20:09] 当前点: 9.13075 -5.19542 -2.44743
[2026-07-05 17:20:09] 当前点: 9.13082 -5.1955 -2.44743
[2026-07-05 17:20:09] 当前点: 9.13076 -5.19542 -2.44743
[2026-07-05 17:20:09] 当前点: 9.13084 -5.19547 -2.44743
[2026-07-05 17:20:10] 当前点: 9.13084 -5.19528 -2.44742
[2026-07-05 17:20:10] 当前点: 9.13089 -5.19531 -2.44742
[2026-07-05 17:20:10] 当前点: 9.13054 -5.19491 -2.44742
[2026-07-05 17:20:10] 当前点: 9.13057 -5.19489 -2.44742
